country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IRL,%,Share of fossil primary energy consumed,97.95834517412241,98.33829972910961,97.77135003179997,98.12247257864666,97.74322171102429,97.1105793424446,96.28985166242678,95.83981548371449,94.50843432358097,93.05439579090398,93.56118937156327,90.55775488662874,90.73450167463659,89.8443358415519,88.49168059466533,86.92145723987893,88.01233706021694,85.82257745006223,84.32499636045311,81.92222605224822,78.29545208654856,81.43696186563652
IRN,%,Share of fossil primary energy consumed,99.19171091200903,99.18180920030355,98.55665213342665,98.31623438523918,98.11566781114132,97.85736127351285,97.49926206744888,97.72936402721304,99.07640646242812,99.18630290331471,98.80492750311444,98.79899843622957,98.47849214850748,98.05521149011514,98.17873958361002,98.36392671629964,97.97775536740978,97.84752530970692,98.51481268509009,96.66613525179322,97.5579683910457,98.4473593065522
IRQ,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,98.87465480372532,99.08804657239513,97.7227118178634,,
ISL,%,Share of fossil primary energy consumed,,,,,,,,25.698312657762777,,,,,,,,,,,,,,
ISR,%,Share of fossil primary energy consumed,99.95968426657625,99.97414067046643,99.90912943188526,99.89759273719612,99.90331413074016,99.88010694727201,99.92998305368562,99.93855586526776,99.92954532018071,99.84649632685387,99.77021393422262,99.63200019276049,99.47409666968817,99.37619708897189,98.94167863564736,98.649519018045,98.14881122098625,98.15116246783666,97.9910882786887,96.91962771445503,95.74935038247075,94.66362369442189
ITA,%,Share of fossil primary energy consumed,92.84435595365332,92.39149469531601,93.22162379591128,93.66092018405496,92.77964358573334,93.5664561755969,93.27001173731938,93.56802959893523,91.80467985719596,89.41449932062157,88.56919137411366,87.55695385348368,85.83426237699608,82.38930519833862,80.26024008584922,82.66532352985435,82.99080269258184,83.85026286648196,82.27250105118986,82.06005086414419,80.27873572537347,81.6377378291643
JPN,%,Share of fossil primary energy consumed,80.66688749518084,80.66983960067375,81.08314665824932,84.29077751915834,82.0774190931499,82.35350157232271,81.3939174603672,82.98996625344803,83.98991892383644,81.69525237689875,81.09550029990619,86.51537949585483,93.45420360806548,93.12862523895329,93.00100864866475,91.6358558679214,91.06181963454308,89.85789840902683,88.20780878153755,87.10051587554612,86.44785273254644,85.34425819388301
KAZ,%,Share of fossil primary energy consumed,93.9771757373427,94.29573584736394,93.8795861548917,94.6174446192342,95.29842354644472,95.5675878021826,95.95297524969037,96.18182542963821,96.71508841215109,96.64526548798125,96.3759428878187,96.88090528098992,97.14278240324198,97.1371159176109,97.01754876497219,96.4335728941943,95.59588676149538,95.95733222636443,96.61116155364124,96.53107247082949,96.0999634219279,96.01142614667194
KOR,%,Share of fossil primary energy consumed,85.69135985426229,85.94446882204426,85.71679257521565,84.86958646708929,85.24242198981837,84.1967411512192,84.3414427555402,85.3950571766805,84.91307047948904,85.34509130228865,86.08332892400132,85.92370149836987,86.47826532147202,87.30013589982725,85.82357835498111,85.32033883535568,85.8387046515228,86.63898382921114,87.62788181826123,86.4001714128435,84.7326149740204,84.91670012411903
KWT,%,Share of fossil primary energy consumed,99.99999960681278,99.99999961114672,99.99999926523392,99.99999959013309,100.00000036689862,100.0,99.99999723200222,99.99999706159191,99.9999971190872,99.99999999999997,100.0,99.99999999999999,100.00000006608812,99.99988457209751,99.99796607450058,99.99697883796915,99.97087242906795,99.95997094181666,99.9686678268168,99.96581806870998,99.96347886024448,99.9663155010485
LBY,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
LKA,%,Share of fossil primary energy consumed,,,,,,,,83.37142732070201,,,,,,,,,,,,,,
LTU,%,Share of fossil primary energy consumed,68.10079475481861,63.8406760829506,58.25178517217602,56.85493360832668,58.2390010550353,68.16430629148131,71.96879662528372,70.43509576840783,70.02189190984832,64.5818572308546,95.26319671028836,94.642471168151,94.10118198426592,92.09707951580262,91.76839718943113,91.34074626169225,90.01992011297781,88.75192884644582,89.75838211368321,88.67717100034915,87.88340054133576,88.47041563528818
LUX,%,Share of fossil primary energy consumed,98.62962978918726,98.74776905800759,98.9698585825211,99.08258925429439,98.8879646637695,98.83207837112874,98.60912888543362,97.44184202695557,97.3348908452525,97.36952020974017,97.49976460044276,97.44557699681988,97.01379988300336,96.33756463835186,95.64070168385264,94.9695508273414,94.565712801153,93.30409255662072,92.85198888107153,92.08548777620493,89.12179039298135,88.91446427372223
