country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CMR,tCO2 per capita,Energy GHG emissions per capita,1.1884463322254184,1.0792630561170653,1.1840474566220613,1.1193950664683574,1.0278907575842087,1.0661777249149704,1.1452448146893681,1.031758358846115,1.005177205949671,0.9660814110188068,0.973317939010222,0.947961913275924,0.8742111085333092,0.8690026688500457,0.8169498199291954,0.7725531381221253,0.7243324165589634,0.7901642489865209,0.7998888881617172,0.8539700156473582,0.7914956593591462,0.7318335942423734,0.698152831891733,0.6567832117152007,0.7671330909339727,0.8755975094573116,0.8567888331911133,0.7408592420358648,0.745550658759441,0.7072084677045525
COD,tCO2 per capita,Energy GHG emissions per capita,0.3351436580288878,0.29241199234493254,0.26785295526317265,0.25376241423120227,0.2533974322840701,0.26938463577718036,0.2736378745128983,0.25783080645072604,0.2408028473955656,0.21994957928109807,0.2207794661510051,0.2126845301573655,0.20853522651236664,0.21001220345912266,0.2035091420546385,0.20078160995237204,0.19618917203326533,0.20529072870972195,0.20029400179883877,0.1873541639991384,0.1874113677819073,0.1917455029050867,0.2535469442674405,0.2718655430379691,0.29145648192098833,0.2636254623479098,0.25130370141160335,0.2629032516648134,0.25098702133028067,0.2569403624596627
COG,tCO2 per capita,Energy GHG emissions per capita,4.005533066863549,3.8682052518420424,3.8715714604137847,3.7384564901479758,3.631742799671016,4.025806527863752,5.025459335957341,5.405814494069821,5.657850470804306,5.594991100672979,5.81949338432318,5.407202766996175,3.4135095227853274,3.7570646758137496,3.931099784985934,4.609725969733146,4.913030023152654,4.024640084950865,3.8140470104976036,4.100931152602885,4.352161971557452,4.027448540812161,3.8800965900159134,3.6774591439697133,3.588795779576163,3.397793246546143,3.2925141879254665,3.424187797329564,3.4513247843446386,3.085212835080134
COL,tCO2 per capita,Energy GHG emissions per capita,1.918280118984119,1.8662061699264252,1.9812583419110394,1.9691506195614683,2.002294360873513,1.795645740291748,1.7693201875360722,1.9271651906357372,1.9445157708700433,1.6333556139791445,1.652789751391403,1.6469612595959713,1.6024322524059298,1.6030326195201836,1.502045598349252,1.5944576277692242,1.634225175072159,1.5707340646171186,1.7128018971518046,1.861450267747163,1.9481367089567125,1.9293626815749831,1.9988835334774253,2.2152685253873647,2.21428740845891,2.0580519208621375,2.324854974716372,2.1059155289883975,2.114332808388126,2.2646257726769043
COM,tCO2 per capita,Energy GHG emissions per capita,0.22206133168771475,0.22577517322405535,0.22064180875876954,0.22258330180069894,0.22497187851518563,0.23138701792618335,0.2374008697876695,0.24105746531063538,0.25418039434826983,0.2590511919191155,0.28394529074891495,0.28062853596452564,0.27744609117089275,0.3240668503617032,0.3382281533077709,0.3319027181688126,0.3607762756075329,0.26495268256798377,0.2677917979632608,0.30449267806509017,0.34362965712429827,0.30286819006535726,0.30944996649927814,0.34928679412712693,0.31472629347239234,0.33057426022754316,0.3682769040104475,0.41406086817628923,0.42291324751718684,0.37607637170918484
CPV,tCO2 per capita,Energy GHG emissions per capita,0.34620198666678503,0.34947967963399945,0.3626009450111451,0.3633313937446901,0.3692791617628697,0.38054508553203825,0.4323280231990757,0.43537630365518193,0.45574321294116793,0.5137279525087048,0.5955467118815073,0.6380522422486982,0.722421013421228,0.7401233538923154,0.7774534130204831,1.0107249143691392,1.0678409364602672,1.1261569420734339,1.0356746234761234,1.1280814191223156,1.1894999228651926,1.2949576833487686,1.0509835900095201,1.0239574784070036,0.9956085174694564,0.9909669550634601,1.0712806416387395,1.1311648951905027,1.4234116271029342,1.4292572226586369
CRI,tCO2 per capita,Energy GHG emissions per capita,0.884775324770247,0.9743657487953936,1.089296445333597,1.0882786752534919,1.431120185473176,1.294590023928762,1.2361106178598438,1.2476633202041865,1.2828962328856255,1.3100229884584143,1.2820613123108928,1.3162872074235625,1.4387008580021763,1.508146029841599,1.5171037471752522,1.4257366228102928,1.5372503607820738,1.6528077525764957,1.6535506639633277,1.574963739335538,1.5729553055673224,1.5022384648158915,1.4739751659715234,1.5309637416753845,1.5348073879288233,1.4398268907268341,1.5308196865861008,1.5777921213425172,1.6801871728510556,1.860304412368667
CUB,tCO2 per capita,Energy GHG emissions per capita,3.2367693983930907,2.8762732193479685,2.086363139328262,1.9834443567856785,2.0482612798994246,2.4154487325139424,2.5412995456284393,2.329447584244563,2.2738172390858136,2.3546026120932932,2.4266558983062207,2.37355745925811,2.4197154486063157,2.359921935563445,2.302146711810075,2.379771375008813,2.4242443617004557,2.3730977110983735,2.5540681544632786,2.592032519586547,3.08217661887541,2.643131582298708,2.664981924315935,2.508259974853586,2.494050319145577,2.631398393098601,2.5231343186143445,2.2576439104685453,2.32842300672438,2.3999680945418023
CYP,tCO2 per capita,Energy GHG emissions per capita,5.452534254437683,5.580236004397788,5.94546658173143,6.216793893129771,6.940595194862287,5.856970671891568,6.422982599556231,6.137860613337223,6.437697395208593,6.317160323049861,6.7105698365716515,6.508559015447674,6.4997011161061575,7.025228420571641,6.472620025534189,6.480761577063164,6.647486198097002,6.881587804171822,7.10080179886979,6.7571936336672165,6.372363535700066,6.107551583029363,5.682589075685039,4.860709208945803,4.9813546333974665,4.9871359455359965,5.238470024927597,5.30650131179086,5.2133171664444005,5.147783949927163
CZE,tCO2 per capita,Energy GHG emissions per capita,16.64512638925112,15.133028047127354,14.148489169089272,13.649755974309416,12.967423606149538,12.781714556620235,12.990486601330982,13.101541507964136,12.531117728102528,11.474290781865953,12.774177984084544,12.822263364395512,12.356677254181559,12.654505131352783,12.160318898479089,12.339372705464266,12.599003506722644,12.525697098737837,11.844458570057999,10.915424989199476,11.361021766381114,10.861189426003287,10.370300600763882,10.271752528372863,9.785900645365896,9.95632586542518,10.126503691157916,10.005249924535875,9.877771514538951,9.557837567361672
