country,unit,variable,2014,2015,2016,2017,2018,2019,2020
HTI,MtCO2eq,Total GHG emissions (excluding LULUCF),13.24346815007,13.67810708874,13.89079315691,14.032311019109999,14.056624488288,14.093866604388,3.0099693149999998
HUN,MtCO2eq,Total GHG emissions (excluding LULUCF),61.69551587779,64.23849849393,65.16222843657,67.84767365499,67.73214720754,67.99118699598999,49.4051819027
IDN,MtCO2eq,Total GHG emissions (excluding LULUCF),971.2581410854,973.0765463119,986.1342465344,1059.6480967773,1114.5897482129,1163.3769919739,568.2671100350001
IND,MtCO2eq,Total GHG emissions (excluding LULUCF),3326.001414594,3351.135996615,3407.0986871520004,3530.5901180999995,3669.3426730439996,3714.193575211,2411.732890437
IRL,MtCO2eq,Total GHG emissions (excluding LULUCF),64.355198968104,66.456491071758,69.66539484750099,69.064458322275,68.74610799100799,67.183578056761,32.64797355007
IRN,MtCO2eq,Total GHG emissions (excluding LULUCF),858.2379876474,857.1371552790999,904.1930432835999,936.5976314231998,962.1483106352,979.5737588195,690.2408520629999
IRQ,MtCO2eq,Total GHG emissions (excluding LULUCF),298.48261270219996,302.80207481516,348.10408133903996,351.17350893195004,376.98726416139993,396.70700021426,191.30060068
ISL,MtCO2eq,Total GHG emissions (excluding LULUCF),4.75058349477091,4.919326131924009,4.86249969539847,5.103675297041259,4.99397610585922,4.74963151022588,3.1692932553899995
ISR,MtCO2eq,Total GHG emissions (excluding LULUCF),85.80412010514499,90.136199670096,90.663981790231,90.846428646796,88.58319914324599,90.94738903965799,62.42088925541999
ITA,MtCO2eq,Total GHG emissions (excluding LULUCF),425.12675089904997,435.04451788164994,431.14865457714996,427.9072923472,422.15636563629994,412.8950153654,297.35181542699996
JAM,MtCO2eq,Total GHG emissions (excluding LULUCF),9.1436706594498,8.996265188771199,9.5247501127249,8.9709887555193,10.376527672427,10.335230744713998,7.881556134425999
JOR,MtCO2eq,Total GHG emissions (excluding LULUCF),33.757410411528994,33.936200395377,34.880581263753996,37.026001004594995,35.978179123633,36.706108503973,26.482416221859
JPN,MtCO2eq,Total GHG emissions (excluding LULUCF),1387.22150560784,1344.4829399406099,1334.72359669619,1321.32556500916,1274.3397803118,1237.74063653647,1061.7743661847999
KAZ,MtCO2eq,Total GHG emissions (excluding LULUCF),344.4769262062,358.7507480388,368.28960455469996,377.1919275487,376.24243293136,370.37339684668996,267.09821328500004
KEN,MtCO2eq,Total GHG emissions (excluding LULUCF),85.52785177396599,88.75425753632,95.72631793895,92.03933642938,94.113255648515,96.04625775592999,16.413557850342
KGZ,MtCO2eq,Total GHG emissions (excluding LULUCF),19.027350968740002,19.97691284614,19.54555405829,19.574002380309,21.773634050121,21.533419864025,11.457145009982
KHM,MtCO2eq,Total GHG emissions (excluding LULUCF),36.255583219390005,37.919908903999996,40.392796269769995,42.80345986333,43.28563919336,47.08660898838,15.819576407000001
KIR,MtCO2eq,Total GHG emissions (excluding LULUCF),0.08258137294047,0.0889983510706,0.0910193749829,0.093277623031,0.0956382389904,0.0981769567112,0.06366501888000001
KNA,MtCO2eq,Total GHG emissions (excluding LULUCF),0.29835155025126,0.2994492010338,0.29807609804412,0.21671013901487998,0.21240422581859003,0.20867810186132,0.13856058844
KOR,MtCO2eq,Total GHG emissions (excluding LULUCF),702.057741498537,719.307456968595,735.2001829585798,748.172669520141,762.266109750337,742.5859177433109,621.4683838881
KWT,MtCO2eq,Total GHG emissions (excluding LULUCF),136.3530380202122,146.72644416519748,151.98617305823552,146.96166624501078,147.79855832508392,147.8599598131464,89.974361392
